short-name,common-name
AJ Hall,Andrew Hall
J Botha,Johan Botha
NW Bracken,Nathan Bracken
HH Dippenaar,Herschelle Dippenaar
ML Lewis,Mark Lewis
SR Clark,Stuart Clark
JA Rudolph,Jacques Rudolph
JEC Franklin,James Franklin
D Ganga,Daren Ganga
RS Morton,Runako Morton
DR Smith,Dwayne Smith
WW Hinds,Wavell Hinds
S Chanderpaul,Shivnarine Chanderpaul
IDR Bradshaw,Ian Bradshaw
DK Butler,David Butler
PG Fulton,Peter Fulton
LE Bosman,Loots Bosman
SR Watson,Shane Watson
GB Hogg,Brad Hogg
JJ van der Wath,Johan van der Wath
RJ Peterson,Robin Peterson
JM Anderson,James Anderson
MS Panesar,Monty Panesar
JWM Dalrymple,Jamie Dalrymple
CL White,Cameron White
SM Harwood,Shane Harwood
IR Bell,Ian Bell
BW Hilfenhaus,Ben Hilfenhaus
PA Nixon,Paul Nixon
Z Khan,Zaheer Khan
S Sreesanth,Shanthakumaran Sreesanth
AB Agarkar,Ajit Agarkar
IK Pathan,Irfan Pathan
SR Tendulkar,Sachin Tendulkar
Harbhajan Singh,Harbhajan Singh
T Henderson,Tyron Henderson
V Sehwag,Virender Sehwag
D Mongia,Dinesh Mongia
DS Smith,Dwayne Smith
SCJ Broad,Stuart Broad
MH Yardy,Michael Yardy
AD Mascarenhas,Dimitri Mascarenhas
DJG Sammy,Darren Sammy
DBL Powell,Daren Powell
AN Cook,Sir Alastair Cook
MJ Prior,Matt Prior
IJL Trott,Jonathan Trott
OA Shah,Owais Shah
ACL Richards,Viv Richards
VD Philander,Vernon Philander
RR Sarwan,Ramnaresh Sarwan
Syed Rasel,Syed Rasel
Abdur Razzak,Abdur Razzak
Farhad Reza,Farhad Reza
Mohammad Ashraful,Mohammad Ashraful
Nazimuddin,Nazimuddin
Aftab Ahmed,Aftab Ahmed
Alok Kapali,Alok Kapali
DL Maddy,Darren Maddy
MG Johnson,Mitchell Johnson
LJ Wright,Luke Wright
CP Schofield,Chris Schofield
RJ Kirtley,Richard Kirtley
RP Singh,RP Singh
DL Vettori,Daniel Vettori
MR Gillespie,Mark Gillespie
G Gambhir,Gautam Gambhir
RV Uthappa,Robin Uthappa
JN Snape,Jonathan Snape
CS Martin,Chris Martin
NL McCullum,Nathan McCullum
CT Tremlett,Chris Tremlett
Joginder Sharma,Joginder Sharma
BJ Hodge,Brad Hodge
BJ Haddin,Brad Haddin
AC Voges,Adam Voges
LA Pomersbach,Luke Pomersbach
AA Noffke,Ashley Noffke
JM How,Jamie How
SW Tait,Shaun Tait
DJ Hussey,David Hussey
P Kumar,Praveen Kumar
I Sharma,Ishant Sharma
JAH Marshall,Hamish Marshall
GP Swann,Graeme Swann
DR Flynn,Daniel Flynn
MJ Mason,Matt Mason
M Kartik,Murali Kartik
GJ Hopkins,Gareth Hopkins
JL Ontong,Justin Ontong
RN Lewis,Ricardo Lewis
JD Ryder,Jesse Ryder
PA Hitchcock,Paul Hitchcock
MN van Wyk,Morne van Wyk
GH Bodi,Gulam Bodi
BA Parchment,Brenton Parchment
SE Marsh,Shaun Marsh
SJ Benn,Sulieman Benn
KAJ Roach,Kemar Roach
XM Marshall,Xavier Marshall
WKD Perkins,William Perkins
RS Bopara,Ravi Bopara
Naeem Islam,Naeem Islam
J Louw,Johann Louw
Junaid Siddique,Junaid Siddique
Raqibul Hasan,Raqibul Hasan
B Geeves,Brett Geeves
VB van Jaarsveld,Vaughn van Jaarsveld
B Laughlin,Ben Laughlin
RE van der Merwe,Roelof van der Merwe
YA Abdulla,Yusuf Abdulla
CJ Ferguson,Callum Ferguson
LL Tsotsobe,Lonwabo Tsotsobe
ND McKenzie,Neil McKenzie
IE O'Brien,Iain O'Brien
IG Butler,Ian Butler
GD Elliott,Grant Elliott
PM Siddle,Peter Siddle
SM Davies,Steve Davies
LS Baker,Liam Baker
GJ Batty,Gareth Batty
A Khan,Aman Khan
YK Pathan,Yusuf Pathan
PP Ojha,Pragyan Ojha
BJ Diamanti,Brendon Diamanti
JS Foster,James Foster
SE Findlay,Shane Findlay
CS Baugh,Carlton Baugh
EP Thompson,Ethan Thompson
R McLaren,Ryan McLaren
SI Mahmood,Sajid Mahmood
HG Kuhn,Heino Kuhn
GC Tonge,Gavin Tonge
NO Miller,Nikita Miller
DE Bernard,David Bernard
Nazmul Hossain,Nazmul Hossain
DM Richards,Dale Richards
TM Dowlin,Travis Dowlin
FL Reifer,Floyd Reifer
N Deonarine,Narsingh Deonarine
TR Birt,Travis Birt
DP Nannes,Dirk Nannes
RJ Harris,Ryan Harris
M Vijay,Murali Vijay
PP Chawla,Piyush Chawla
MJ Lumb,Michael Lumb
Jahurul Islam,Jahurul Islam
AJ Redmond,Aaron Redmond
PJ Ingram,Peter Ingram
AN Petersen,Alviro Petersen
A Shahzad,Ajmal Shahzad
SNJ O'Keefe,Steve O'Keefe
J Theron,Juan Theron
CA Ingram,Colin Ingram
MM Patel,Munaf Patel
PA Patel,Parthiv Patel
JW Dernbach,Jade Dernbach
R Dravid,Rahul Dravid
SR Patel,Samit Patel
R Vinay Kumar,Vinay Kumar
S Badrinath,Subramaniam Badrinath
CD Barnwell,Christopher Barnwell
DP Hyatt,Danesh Ramdin Hyatt
DE Bollinger,Doug Bollinger
JL Pattinson,James Pattinson
R Sharma,Rahul Sharma
GJ Bailey,George Bailey
XJ Doherty,Xavier Doherty
JP Faulkner,James Faulkner
CJ McKay,Clinton McKay
RE Levi,Richard Levi
RM Hira,Roneel Hira
RJ Nicol,Rob Nicol
M de Lange,Marchant De Lange
MD Bates,Michael Bates
ST Finn,Steven Finn
MK Tiwary,Manoj Tiwary
NE Bonner,Nkrumah Bonner
DO Christian,Dan Christian
MC Bascombe,Miles Bascombe
SG Borthwick,Scott Borthwick
K Santokie,Krismar Santokie
GE Mathurin,Garey Mathurin
AB Barath,Adrian Barath
A Martin,Andre Martin
Nasir Hossain,Nasir Hossain
Elias Sunny,Elias Sunny
Ziaur Rahman,Ziaur Rahman
L Balaji,Lakshmipathy Balaji
AB Dinda,Ashok Dinda
DR Briggs,Danny Briggs
DG Brownlie,Dean Brownlie
AM Ellis,Andrew Ellis
P Awana,Parvinder Awana
JC Tredwell,James Tredwell
SC Meaker,Stuart Meaker
WB Rankin,Boyd Rankin
HD Rutherford,Hamish Rutherford
MJ McClenaghan,Mitchell McClenaghan
Fawad Ahmed,Fawad Ahmed
H Davids,Henry Davids
BCJ Cutting,Ben Cutting
TL Best,Tino Best
BJ Rohrer,Ben Rohrer
Sohag Gazi,Sohag Gazi
JM Muirhead,James Muirhead
SD Parry,Stephen Parry
NJ Maddinson,Nic Maddinson
KJ Abbott,Kyle Abbott
KOA Powell,Kieran Powell
MM Sharma,Mohit Sharma
KV Sharma,Karn Sharma
HF Gurney,Harry Gurney
AT Rayudu,Ambati Rayudu
AP Devcich,Anton Devcich
Shamsur Rahman,Shamsur Rahman
Mominul Haque,Mominul Haque
D Wiese,David Wiese
BJ Watling,BJ Watling
CJ Boyce,Cameron Boyce
BR Dunk,Ben Dunk
NJ Reardon,Nathan Reardon
Arafat Sunny,Arafat Sunny
E Leie,Eddie Leie
GH Worker,George Worker
UT Khawaja,Usman Khawaja
PM Nevill,Peter Nevill
JW Hastings,John Hastings
SM Boland,Scott Boland
NM Lyon,Nathan Lyon
CT Bancroft,Cameron Bancroft
S Aravind,S Aravind
Shuvagata Hom,Shuvagata Hom
Saqlain Sajib,Saqlain Sajib
Mehedi Hasan Miraz,Mehidy Hasan Miraz
JN Mohammed,M Mohammed
BR McDermott,Ben McDermott
PJ van Biljon,Pite van Biljon
Ebadat Hossain,Ebadot Hossain
BM Duckett,Ben Duckett
J Fraser-McGurk,Jake Fraser-McGurk
M Prasidh Krishna,Prasidh Krishna
BJ Dwarshuis,Ben Dwarshuis
DR Mousley,Dan Mousley
Nithish Kumar Reddy,Nitish Kumar Reddy
PD Collingwood,Paul Collingwood
J Lewis,Jon Lewis
L Vincent,Lou Vincent
R Telemachus,Roger Telemachus
EC Joyce,Ed Joyce
RJ Sidebottom,Ryan Sidebottom
P Mustard,Phil Mustard
RK Kleinveldt,Rory Kleinveldt
Mehrab Hossain jnr,Mehrab Hossain
TT Bresnan,Tim Bresnan
C Kieswetter,Craig Kieswetter
